"ID","Predict"
"0","Amends the Water Resources Development Act of 1999 to authorize the Secretary of Water Resources Development Act of 1992 to authorize the Secretary of Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources"
"1","Federal Forage Fee Act of 1993 - Amends the Federal Water Pollution Control Act of 1976 to require the Secretary of Agriculture to: (1) declares that: (1) the public lands are producing and continuing to produce water and soil conservation benefits. livestock forage and recreation and other multiple use opportunities; (2)"
"2","Merchant Marine of World War II Congressional Gold Medal Act - Directs the Speaker of the House of Representatives and the President pro tempore of the Senate to make appropriate arrangements for the award. Requires the Secretary of the Treasury to: (1) strike the gold medal of appropriate design to the U"
"3","Small Business Tax Modernization Act of 2004 - Amends the Internal Revenue Code to: (1) exclude the corporation for taxation of the corporation (S corporation) to be treated as a partnership for purposes of such taxation; and (2) allow the corporation to be treated as a partnership for purposes of such"
"4","Fair Access to Investment Research Act of 2016 This bill directs the Securities and Exchange Commission to propose. and not later than the end of the 180-day period beginning on the date of enactment of this Act. Requires the Securities and Exchange Commission to propose. and not later than the end"
"5","Prescription Drug Monitoring Act of 2016 This bill requires each covered state to require each prescribebing practitioner within the covered State or their designee. who shall be licensed or registered healthcare professionals or other employees who report directly to the practitioner. Requires the Attorney General to award. on a competitive basis"
"6","Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation Act to require the Secretary of Energy to establish. maintain. and operate a Strategic Gasoline and Fuel Reserve established under part B. Requires the Reserve of the Reserve of the Strategic Petroleum Reserve established"
"7","Speial Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to require the Bureau of the Omnibus Crime Control and Safe Streets Act of 1968 to require the Bureau to pay an annual pension to each or"
"8","Promote Financial Literacy and Economic Opportunity Act of 2015 This bill amends the Internal Revenue Code to allow the excellence of economic education credit for Profit organizations for purposes of the Elementary and Secondary Education Act of 1965 to allow the credit for profit organizations for profit organizations for purposes of such credit. Requires such credit for"
"9","Amends the Tariff Act of 1930 to require the Secretary of Commerce to obtain copies of any certification required under the Tariff Act of 1930 to require the Secretary of Commerce to obtain copies of any certification required under the Tariff Act of 1930 to require the Secretary of Commerce to: (1) prohibit the seller submits"
"10","Outer Continental Shelf Revenue Sharing Act of 2005 - Amends the Outer Continental Shelf Lands Act to require the Secretary of Agriculture to: (1) provide for offshore leasing. preleasing. or any related activity. Requires the Secretary to provide for offshore leasing. preleasing. or any"
"11","Developmentmental Disabilities Assistance and Bill of Rights Act Amendments of 1993 - Amends the Developmental Disabilities Assistance and Bill of Rights Act to authorize the Secretary of Commerce to: (1) provide assistance to state Developmental Disabilities Assistance and Bill of Rights Act to require the Secretary of Commerce to"
"12","Amends the Higher Education Act of 1965 to require agencies or association conducts an assessment of an institution's governing boards. Requires such agency or association conducts an assessment of an institution's governing boards. Requires such agency or association conducts an assessment of an institution"
"13","Robset S. Walker and George E. Brown. Jr. Hydrogen Energy Act of 2001 - Amends the Spark M. Matsunaga Hydrogen Research. Development. and Demonstration Act of 1990 to direct the Secretary to conduct research. development. and demonstration activities leading"
"14","Mercury Health Advisory Act of 2003 - Authorizes the Secretary of Health and Human Services to establish appropriate advisories for the distribution to the public of explanations of the potential adverse effects of mercury exposure from fish consumption; (2) require the Secretary of Health and Human Services to work cooperatively with other federal"
"15","Amends the Atomic Energy Act of 1954 to enter into 1- or more long-term contracts for the procurement. from a facility located within 25 miles of a current or former Department of Energy defense nuclear facility. of products and services that are determined by the Secretary to be necessary to support waste cleanup and"
"16","Health Care Fraud Prevention and Paperwork Reduction Act of 2000 - Establishes the Commission on Billing Codes and Forms Simplification (Sec. 2) This bill establishes the Commission on Billing Codes and Forms Simplification (HHS) to establish a process under"
"17","State Innovation Pilot Act of 2011 - Amends the Elementary and Secondary Education Act of 1965 to authorize the Secretary of Education to waive any statutory or regulatory requirement of the Act for a State educational agency. local educational agency. Indian tribe. or school to submits a waiver request to the Secretary to"
"18","No Second Chances for Murderers. Rapists. or Child Molesters Act of 1998 - Directs the Attorney General to administer the transfer of the following amounts FROM Federal law enforcement assistance funds of the State that convicted of a prior offense. Requires the Attorney General to collect"
"19","Amends the Internal Revenue Act to: (1) establish a qualified historic property."
"20","Contitizens To Our Nonprofits Act of 2016 or the CLINTON Act of 2016 This bill amends the Internal Revenue Code to prohibit the Federal official organization to prohibit any person that: (1) is serving or willingly accepting any contribution from any person connected to a foreign government. Require"
"21","Reduce Expenditures in Nuclear Infrastructure Now Act or theREIN-IN Act This bill authorizes the funds authorized to be appropriated or otherwise made available for FY2014 or any fiscal year thereafter for the Department of Defense or the Department of Energy (DOE) to make the F-35 Joint"
"22","Amends the Internal Revenue Code to allow the presidential election election cycle."
