"ID","Predict"
"0","Amends the Water Resources Development Act of 1999 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992. Amends the Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992"
"1","Federal Forage Fee Act of 1993 - Amends the Federal Land Policy and Management Act of 1976 to require the Secretary of Agriculture to: (1) declares that: (1) the public lands are producing and continuing to produce water and soil conservation benefits. livestock forage and recreation and other multiple use opportunities; (2)"
"2","Merchant Marine of World War II Congressional Gold Medal Act - Directs the Speaker of the House of Representatives and the President pro tempore of the Senate to make appropriate arrangements for the award on behalf of the Congress. of a single gold medal of appropriate design to the U.S. Merchant Marine"
"3","Small Business Tax Modernization Act of 2004 - Amends the Internal Revenue Code to direct the corporation to: (1) establish a corporation. group. pool. joint venture. or otherunincorporated organization. through or by means of which any business. financial operation. or venture shall be treated as a partnership"
"4","Fair Access to Investment Research Act of 2016 This bill directs the Securities and Exchange Commission to propose. and not later than the end of the 180-day period beginning on the date of a 180-day period beginning on the date of enactment of this Act. Requires the Securities and"
"5","Prescription Drug Monitoring Act of 2016 This bill directs the Attorney General to award. on a competitive basis. a grant to an eligible entity to establish and maintain an inter-State data-sharing single hub to facilitate the sharing of PDMP data among States and the accessing of such data by"
"6","Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation Act to direct the Secretary of Energy to establish. maintain. and operate a Strategic Gasoline and Fuel Reserve established under part B. Requires the Secretary to establish. maintain. and operate a"
"7","Speial Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to require the Bureau of the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Bureau of the Omnibus Crime Control and Safe"
"8","Promoing Financial Literacy and Economic Opportunity Act of 2015 This bill amends the Internal Revenue Code to allow an eligible for profit organization. for purposes of the excellence in economic education credit for a taxable year to carry out the purposes specified of the Elementary and Secondary Education Act of 1965 to require the Secretary of Education"
"9","Amends the Tariff Act of 1930 to prohibit any person who holds a waiver of any sovereign immunity of a State or local government or an Indian tribe against anyunconsented lawsuit. Amends the Tariff Act of 1930 to require any person who holds a waiver of any sovereign immunity"
"10","Outer Continental Shelf Revenue Sharing Act of 2005 - Amends the Outer Continental Shelf Lands Act (Outer Continental Shelf Revenue Sharing Act of 2005 - Amends the Outer Continental Shelf Lands Act to direct the Outer Continental Shelf Lands Act to direct the Secretary of the Interior to"
"11","Developmentmental Disabilities Assistance and Bill of Rights Act Amendments of 1993 - Amends the Developmental Disabilities Assistance and Bill of Rights Act to direct the Congress of the Developmental Disabilities Assistance and Bill of Rights Act to authorize the Secretary of Health and Human Services (DOD) to"
"12","Amends the Higher Education Act of 1965 to direct the Secretary of Education (HHS) to apply procedures throughout the accrediting process. including evaluation. interim sanction. and withdrawal or termination of accreditation proceedings. Requires such agency or association conducts an assessment of an institution's "
